sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,0,,,,,
Male,White,14,16.36,10.07,32.92,,,,
Male,White,15,31.06,29.5,44.91,115.33,,,
Male,White,16,29.17,28.45,50.06,77.7,164.28,,
Male,White,17,23,21.61,47.81,90.99,157.42,191.64,
Male,White,18,13.32,9.78,24.08,40.92,97.14,112.73,97.34
Male,Black,13,0,0,,,,,
Male,Black,14,13.79,8.31,19.49,,,,
Male,Black,15,32.76,31.25,36.59,39,,,
Male,Black,16,48.75,19.86,35.89,45.14,35.92,,
Male,Black,17,23.61,22.03,29.05,35.6,28,27.34,
Male,Black,18,20.33,15.9,11.87,14.94,20.41,10.92,19.18
Male,Hispanic,13,0,1.14,,,,,
Male,Hispanic,14,8.38,6.66,19.7,,,,
Male,Hispanic,15,22.91,23.33,36.77,54.57,,,
Male,Hispanic,16,14.05,15.69,30.01,35.5,60.75,,
Male,Hispanic,17,15.66,11.54,21.9,33.98,59.2,42.3,
Male,Hispanic,18,8.85,7.47,10.29,17.42,25.98,20.85,30.53
Female,White,13,1.31,0,,,,,
Female,White,14,4.75,2.07,29.99,,,,
Female,White,15,7.36,17.07,46.97,130.23,,,
Female,White,16,18.69,15.81,29.8,95.52,198.5,,
Female,White,17,6.76,9.27,34.51,83.06,162.58,245.24,
Female,White,18,0.6,11.08,20.4,53.06,74.39,125.99,110.71
Female,Black,13,0,0,,,,,
Female,Black,14,0.63,3.82,10.59,,,,
Female,Black,15,11.53,6.17,17.38,46.61,,,
Female,Black,16,7.97,5.72,19.42,31.38,48.94,,
Female,Black,17,3.86,5.17,16.37,35.28,45.05,54.66,
Female,Black,18,0.05,5.87,6.57,17.61,23.55,26.13,22.85
Female,Hispanic,13,1.1,0,,,,,
Female,Hispanic,14,4.26,3.4,23.32,,,,
Female,Hispanic,15,7.64,7.43,26.46,47.27,,,
Female,Hispanic,16,8.07,3.38,16.75,33.62,64.63,,
Female,Hispanic,17,3.84,6.13,11.19,23.13,61.74,53.75,
Female,Hispanic,18,0.56,2.45,3.65,10.52,22.42,29.5,26.09
