sex_active,race,age,mean11,mean12,mean13,mean14,mean15,mean16,mean17
Male,White,13,0,0,,,,,
Male,White,14,4.12,3.13,2.13,,,,
Male,White,15,4.89,3.36,2.99,1.92,,,
Male,White,16,4.99,4.9,4.09,3.31,1.95,,
Male,White,17,5.62,4.88,4.42,3.9,2.94,1.75,
Male,White,18,4.89,5.09,4.98,3.52,3.76,2.55,1.67
Male,Black,13,0,2,,,,,
Male,Black,14,3.97,2.94,2.37,,,,
Male,Black,15,4.18,4.6,2.98,2.6,,,
Male,Black,16,5.14,4.47,4.33,2.88,1.82,,
Male,Black,17,4.54,4.58,4.63,4.47,3.27,1.92,
Male,Black,18,4.84,5.3,5.25,4.51,3.52,3.36,1.78
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,4.2,2.86,2.61,,,,
Male,Hispanic,15,4.97,4.29,2.97,2.31,,,
Male,Hispanic,16,4.27,4.37,3.89,2.97,2.44,,
Male,Hispanic,17,5.37,5.05,4.31,3.74,3.3,2.01,
Male,Hispanic,18,4.76,4.72,4.85,4.89,4.34,2.84,1.87
Female,White,13,0,0,,,,,
Female,White,14,3,3,2.73,,,,
Female,White,15,3.47,3.51,3.35,2.36,,,
Female,White,16,3.28,5.23,4.11,3.35,1.97,,
Female,White,17,3.54,4.47,3.59,4.44,3.44,1.85,
Female,White,18,3.45,0,4.11,4.25,3.74,2.54,1.55
Female,Black,13,0,0,,,,,
Female,Black,14,2.04,3.74,1.75,,,,
Female,Black,15,3.15,3.91,3.82,2,,,
Female,Black,16,4.57,3.83,3.96,3.73,2.13,,
Female,Black,17,5.24,4.06,4.26,4.29,3.47,2.17,
Female,Black,18,5.11,5.45,5.17,4.51,2.72,3.05,1.95
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,2.13,3.42,1.93,,,,
Female,Hispanic,15,2.32,4.64,3.52,2.28,,,
Female,Hispanic,16,4.11,4.56,3.63,2.22,1.8,,
Female,Hispanic,17,3.36,4.44,4.26,3.43,2.72,1.87,
Female,Hispanic,18,3.3,3.5,3.78,3.76,2.73,2.07,1.45
