sex_active,race,age,mean11,mean12,mean13,mean14,mean15,mean16,mean17
Male,White,13,0,0,,,,,
Male,White,14,4.46,1.84,3.25,,,,
Male,White,15,3.26,3.46,2.82,1.85,,,
Male,White,16,4.74,5.09,3.7,3.12,1.7,,
Male,White,17,4.79,4.64,3.82,4.04,2.85,1.99,
Male,White,18,5.07,4.8,4.46,4.06,3.3,2.77,1.29
Male,Black,13,0,0,,,,,
Male,Black,14,6,1.08,2.22,,,,
Male,Black,15,4.96,2.9,3.28,2.87,,,
Male,Black,16,3.62,4.01,4.48,2.99,2.36,,
Male,Black,17,5.3,4.67,4.58,3.71,3.57,3.25,
Male,Black,18,5.16,4.55,4.84,4.72,4.29,3.03,1.44
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,4.75,1.91,2.24,,,,
Male,Hispanic,15,4.93,3.2,3.15,2.64,,,
Male,Hispanic,16,5.13,3.75,3.37,3.53,2,,
Male,Hispanic,17,5,4.6,4.52,3.02,2.9,1.83,
Male,Hispanic,18,5.73,4.42,4.42,4.18,3.1,2.92,1.47
Female,White,13,0,0,,,,,
Female,White,14,2.07,2.35,3.07,,,,
Female,White,15,3.88,4.16,2.77,1.94,,,
Female,White,16,1.9,4.14,3.55,3.11,2.3,,
Female,White,17,1.99,5.43,4.7,4.08,2.9,1.78,
Female,White,18,5.17,4.63,4.4,4.42,2.94,2.88,1.34
Female,Black,13,0,0,,,,,
Female,Black,14,1.58,6,2.36,,,,
Female,Black,15,5.15,4.75,3.92,2.01,,,
Female,Black,16,1.73,1.29,2.48,4.02,2.35,,
Female,Black,17,4.61,3.93,3.7,4.79,3.16,1.69,
Female,Black,18,5.02,0,5.42,4.73,3.22,2.26,2.01
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,4.35,1.88,2.93,,,,
Female,Hispanic,15,1.29,1.88,3.25,1.6,,,
Female,Hispanic,16,2.59,3.72,3,2.71,1.67,,
Female,Hispanic,17,2.48,3.56,2.95,2.79,2.75,1.63,
Female,Hispanic,18,5.11,4.82,3.31,3.93,2.54,2.08,1.36
