sex_active,race,age,mean11,mean12,mean13,mean14,mean15,mean16,mean17
Male,White,13,0,1,,,,,
Male,White,14,3.24,1,2.35,,,,
Male,White,15,3.88,3.72,2.55,1.99,,,
Male,White,16,4.52,5.53,3.34,3.16,1.91,,
Male,White,17,4.96,5.09,4.69,3.81,2.8,1.81,
Male,White,18,5.71,3.77,4.9,3.86,3.3,2.56,1.59
Male,Black,13,6,0,,,,,
Male,Black,14,3.98,3.02,3.78,,,,
Male,Black,15,4.82,3.9,3.46,2.87,,,
Male,Black,16,5.22,4.57,4.07,3.26,2.73,,
Male,Black,17,5.17,4.62,5.08,4.32,3.79,2.38,
Male,Black,18,5.07,5.22,5.28,4.98,4.53,3.45,1.59
Male,Hispanic,13,6,0,,,,,
Male,Hispanic,14,4.78,3.36,3.13,,,,
Male,Hispanic,15,2.4,1.85,2.35,1.79,,,
Male,Hispanic,16,4.53,3.72,4.17,3.39,1.89,,
Male,Hispanic,17,4.11,4.89,4.61,3.2,3.17,1.82,
Male,Hispanic,18,4.87,4.59,4.34,4.18,3.72,3.04,2.08
Female,White,13,0,0,,,,,
Female,White,14,2.37,0,2.1,,,,
Female,White,15,2.06,3.26,3.68,2.28,,,
Female,White,16,4.35,5.36,4.11,3.47,2.15,,
Female,White,17,5.22,4.38,4.78,4.06,3.25,2.3,
Female,White,18,3.88,6,4.86,4.24,3.63,2.84,1.79
Female,Black,13,0,0,,,,,
Female,Black,14,2,2.93,2.02,,,,
Female,Black,15,4.26,2.6,2.61,2.32,,,
Female,Black,16,3.06,4.94,3.79,3.19,2.07,,
Female,Black,17,4.17,4.32,5.05,3.38,3.12,1.97,
Female,Black,18,6,5.11,4.18,4.14,3.21,3.06,1.79
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,2,3.02,1.77,,,,
Female,Hispanic,15,3.68,3.47,3,1.77,,,
Female,Hispanic,16,3.01,3.67,3.63,2.35,1.53,,
Female,Hispanic,17,4.52,3.86,4.61,3.55,2.54,1.62,
Female,Hispanic,18,4.89,4.91,5.02,3.21,3.58,2.86,2.12
