sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,0,,,,,
Male,White,14,4.79,2.09,24.46,,,,
Male,White,15,14.14,7.57,54.2,91.68,,,
Male,White,16,23.68,26.85,33.95,48.13,127.86,,
Male,White,17,24.59,9.98,26.23,96.19,104.2,157.7,
Male,White,18,10.23,8.16,13.64,51.67,72.47,100.6,126.18
Male,Black,13,0,0,,,,,
Male,Black,14,0.83,1.55,23.53,,,,
Male,Black,15,21.19,15.42,18.82,23.62,,,
Male,Black,16,8.15,12.24,24.37,30.79,38.2,,
Male,Black,17,15.06,8.01,25.45,52.81,30.98,33.92,
Male,Black,18,14.49,8.62,14.69,7.76,19.38,15.57,9.39
Male,Hispanic,13,0,0,,,,,
Male,Hispanic,14,5.97,3.34,13.25,,,,
Male,Hispanic,15,11.35,6.39,19.85,47.78,,,
Male,Hispanic,16,17.04,14.48,26.97,43.32,57.66,,
Male,Hispanic,17,16.21,7.67,24.59,38.9,52.38,44.03,
Male,Hispanic,18,15.47,4.9,16.79,22.94,26.6,25.32,40.45
Female,White,13,0,0,,,,,
Female,White,14,4.76,0.39,11.69,,,,
Female,White,15,14.94,3.8,25.16,89.74,,,
Female,White,16,10.12,6.44,35.24,89.37,166.06,,
Female,White,17,7.65,6.71,33.07,56.42,115.73,191.84,
Female,White,18,2.58,2.59,11.3,46.47,73.39,74.53,110.8
Female,Black,13,0,0,,,,,
Female,Black,14,2.21,1.33,11.47,,,,
Female,Black,15,0.96,3.51,4,24.6,,,
Female,Black,16,7.84,8.25,9.9,17.93,37.06,,
Female,Black,17,2.21,3.77,5.13,10.36,22.13,27.86,
Female,Black,18,6.02,0,1.08,4.45,19.54,16.88,11.24
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,3.12,1.17,8.36,,,,
Female,Hispanic,15,2.85,6.93,16.72,32.57,,,
Female,Hispanic,16,3.17,4.21,15.77,38.29,49.6,,
Female,Hispanic,17,3.5,6.16,10.03,29.85,44.74,70.53,
Female,Hispanic,18,8.27,3.82,5.04,10.33,37.53,22.37,39.86
