sex_active,race,age,age11,age12,age13,age14,age15,age16,age17
Male,White,13,0,1.49,,,,,
Male,White,14,4.26,0.74,28.3,,,,
Male,White,15,21.53,12.28,33.35,66.38,,,
Male,White,16,12.84,31.41,45.56,85.75,105.56,,
Male,White,17,32.68,16.74,38.48,83.26,126.44,165.58,
Male,White,18,10.26,13.63,33.58,59.3,80.07,93.13,109.71
Male,Black,13,0.78,0,,,,,
Male,Black,14,13.27,17.73,6.48,,,,
Male,Black,15,25.74,16.54,20.33,28.86,,,
Male,Black,16,21.93,32.66,24.55,34.99,22.68,,
Male,Black,17,20.03,12.98,20.63,23.58,16.2,29.59,
Male,Black,18,23.21,11.09,13.99,20.9,20.63,20.91,13.33
Male,Hispanic,13,1.43,0,,,,,
Male,Hispanic,14,7.13,5.25,13.08,,,,
Male,Hispanic,15,6.19,7.43,19.01,46.72,,,
Male,Hispanic,16,11.02,14.5,20.36,32.49,59.92,,
Male,Hispanic,17,13.16,22.8,13.69,33.22,40.94,43.37,
Male,Hispanic,18,12.46,15.07,11.23,30.22,24.02,28.06,29.54
Female,White,13,0,0,,,,,
Female,White,14,1.84,0,14.92,,,,
Female,White,15,6.54,8.68,52.5,106.4,,,
Female,White,16,12.14,4.84,38.71,83.65,169.42,,
Female,White,17,18.35,8.91,43.32,105.38,148.42,180.49,
Female,White,18,5.43,7.51,11.06,35.41,79.56,92.12,96.65
Female,Black,13,0,0,,,,,
Female,Black,14,0.33,1.67,6.04,,,,
Female,Black,15,5.62,3.96,9.92,33.76,,,
Female,Black,16,5.91,11.68,19.7,36.56,39.31,,
Female,Black,17,6.21,6.38,12.68,25.62,46.07,41.96,
Female,Black,18,1.64,1.31,5.89,21.62,21.73,30.19,23.34
Female,Hispanic,13,0,0,,,,,
Female,Hispanic,14,2.8,1.01,11.64,,,,
Female,Hispanic,15,5.38,4.45,13.59,60.47,,,
Female,Hispanic,16,9.63,5.27,9.68,47.43,57.19,,
Female,Hispanic,17,4.22,6.68,10.35,41.24,42.72,55.91,
Female,Hispanic,18,4.31,6.19,17.04,21.87,19.76,31.24,37.29
